time,model_id,model_name,port_name,data
0,1,humidifier,,cmd=0;inj=0
0,2,cmd_input,,0
0,1,humidifier,,cmd=0;inj=0
0,2,cmd_input,out,0
0,2,cmd_input,,1
1,1,humidifier,out_inj,0
1,1,humidifier,,cmd=1;inj=2
1,2,cmd_input,out,1
1,2,cmd_input,,2
2,1,humidifier,out_inj,2
2,1,humidifier,,cmd=1;inj=2
3,1,humidifier,out_inj,2
3,1,humidifier,,cmd=1;inj=2
3,2,cmd_input,out,1
3,2,cmd_input,,1
4,1,humidifier,out_inj,2
4,1,humidifier,,cmd=0;inj=0
4,2,cmd_input,out,0
4,2,cmd_input,,2
5,1,humidifier,out_inj,0
5,1,humidifier,,cmd=0;inj=0
6,1,humidifier,out_inj,0
6,1,humidifier,,cmd=1;inj=2
6,2,cmd_input,out,1
6,2,cmd_input,,inf
7,1,humidifier,out_inj,2
7,1,humidifier,,cmd=1;inj=2
7,1,humidifier,,cmd=1;inj=2
7,2,cmd_input,,inf
