time,model_id,model_name,port_name,data
0,1,humistat,,last_rh=50;cmd=0
0,2,rh_input,,0
0,1,humistat,,last_rh=50;cmd=1
0,2,rh_input,out,50
0,2,rh_input,,1
1,1,humistat,out_cmd,1
1,1,humistat,,last_rh=52;cmd=1
1,2,rh_input,out,52
1,2,rh_input,,1
2,1,humistat,out_cmd,1
2,1,humistat,,last_rh=54;cmd=1
2,2,rh_input,out,54
2,2,rh_input,,1
3,1,humistat,out_cmd,1
3,1,humistat,,last_rh=58;cmd=0
3,2,rh_input,out,58
3,2,rh_input,,1
4,1,humistat,out_cmd,0
4,1,humistat,,last_rh=56;cmd=0
4,2,rh_input,out,56
4,2,rh_input,,1
5,1,humistat,out_cmd,0
5,1,humistat,,last_rh=53;cmd=0
5,2,rh_input,out,53
5,2,rh_input,,1
6,1,humistat,out_cmd,0
6,1,humistat,,last_rh=51;cmd=1
6,2,rh_input,out,51
6,2,rh_input,,inf
7,1,humistat,out_cmd,1
7,1,humistat,,last_rh=51;cmd=1
7,1,humistat,,last_rh=51;cmd=1
7,2,rh_input,,inf
