time,model_id,model_name,port_name,data
0,1,indoor_air,,rh=50;inj=0;leak=0
0,2,leakage_input,,0
0,3,injection_input,,0
0,1,indoor_air,,rh=50;inj=0;leak=0
0,2,leakage_input,out,0
0,2,leakage_input,,2
0,3,injection_input,out,0
0,3,injection_input,,1
1,1,indoor_air,out_rh,50
1,1,indoor_air,,rh=50;inj=2;leak=0
1,3,injection_input,out,2
1,3,injection_input,,3
2,1,indoor_air,out_rh,50
2,1,indoor_air,,rh=51;inj=2;leak=0.5
2,2,leakage_input,out,0.5
2,2,leakage_input,,3
3,1,indoor_air,out_rh,51
3,1,indoor_air,,rh=51.75;inj=2;leak=0.5
4,1,indoor_air,out_rh,51.75
4,1,indoor_air,,rh=52.5;inj=0;leak=0.5
4,3,injection_input,out,0
4,3,injection_input,,2
5,1,indoor_air,out_rh,52.5
5,1,indoor_air,,rh=52.25;inj=0;leak=1
5,2,leakage_input,out,1
5,2,leakage_input,,inf
6,1,indoor_air,out_rh,52.25
6,1,indoor_air,,rh=51.75;inj=1;leak=1
6,3,injection_input,out,1
6,3,injection_input,,inf
7,1,indoor_air,out_rh,51.75
7,1,indoor_air,,rh=51.75;inj=1;leak=1
7,1,indoor_air,,rh=51.75;inj=1;leak=1
7,2,leakage_input,,inf
7,3,injection_input,,inf
