time,model_id,model_name,port_name,data
0,1,leakage,,last_rh=50;leak=0
0,2,rh_input,,0
0,1,leakage,,last_rh=45;leak=-0.05
0,2,rh_input,out,45
0,2,rh_input,,2
1,1,leakage,out_leak,-0.05
1,1,leakage,,last_rh=45;leak=-0.05
2,1,leakage,out_leak,-0.05
2,1,leakage,,last_rh=50;leak=0
2,2,rh_input,out,50
2,2,rh_input,,2
3,1,leakage,out_leak,0
3,1,leakage,,last_rh=50;leak=0
4,1,leakage,out_leak,0
4,1,leakage,,last_rh=55;leak=0.05
4,2,rh_input,out,55
4,2,rh_input,,2
5,1,leakage,out_leak,0.05
5,1,leakage,,last_rh=55;leak=0.05
6,1,leakage,out_leak,0.05
6,1,leakage,,last_rh=60;leak=0.1
6,2,rh_input,out,60
6,2,rh_input,,inf
7,1,leakage,out_leak,0.1
7,1,leakage,,last_rh=60;leak=0.1
7,1,leakage,,last_rh=60;leak=0.1
7,2,rh_input,,inf
