time,model_id,model_name,port_name,data
0,2,humidifier,,cmd=0;inj=0
0,3,humistat,,last_rh=50;cmd=0
0,4,rh_input,,0
0,3,humistat,,last_rh=50;cmd=1
0,4,rh_input,out,50
0,4,rh_input,,1
1,2,humidifier,out_inj,0
1,2,humidifier,,cmd=1;inj=2
1,3,humistat,out_cmd,1
1,3,humistat,,last_rh=52;cmd=1
1,4,rh_input,out,52
1,4,rh_input,,1
2,2,humidifier,out_inj,2
2,2,humidifier,,cmd=1;inj=2
2,3,humistat,out_cmd,1
2,3,humistat,,last_rh=54;cmd=1
2,4,rh_input,out,54
2,4,rh_input,,1
3,2,humidifier,out_inj,2
3,2,humidifier,,cmd=1;inj=2
3,3,humistat,out_cmd,1
3,3,humistat,,last_rh=58;cmd=0
3,4,rh_input,out,58
3,4,rh_input,,2
4,2,humidifier,out_inj,2
4,2,humidifier,,cmd=0;inj=0
4,3,humistat,out_cmd,0
4,3,humistat,,last_rh=58;cmd=0
5,2,humidifier,out_inj,0
5,2,humidifier,,cmd=0;inj=0
5,3,humistat,out_cmd,0
5,3,humistat,,last_rh=53;cmd=0
5,4,rh_input,out,53
5,4,rh_input,,1
6,2,humidifier,out_inj,0
6,2,humidifier,,cmd=0;inj=0
6,3,humistat,out_cmd,0
6,3,humistat,,last_rh=51;cmd=1
6,4,rh_input,out,51
6,4,rh_input,,inf
7,2,humidifier,out_inj,0
7,2,humidifier,,cmd=1;inj=2
7,3,humistat,out_cmd,1
7,3,humistat,,last_rh=51;cmd=1
7,2,humidifier,,cmd=1;inj=2
7,3,humistat,,last_rh=51;cmd=1
7,4,rh_input,,inf
