time,model_id,model_name,port_name,data
0,2,humidifier,,cmd=0;inj=0
0,3,humistat,,last_rh=50;cmd=0
0,4,leakage,,last_rh=50;leak=0
0,5,indoor_air,,rh=50;inj=0;leak=0
1,2,humidifier,out_inj,0
1,2,humidifier,,cmd=0;inj=0
1,3,humistat,out_cmd,0
1,3,humistat,,last_rh=50;cmd=1
1,4,leakage,out_leak,0
1,4,leakage,,last_rh=50;leak=0
1,5,indoor_air,out_rh,50
1,5,indoor_air,,rh=50;inj=0;leak=0
2,2,humidifier,out_inj,0
2,2,humidifier,,cmd=1;inj=2
2,3,humistat,out_cmd,1
2,3,humistat,,last_rh=50;cmd=1
2,4,leakage,out_leak,0
2,4,leakage,,last_rh=50;leak=0
2,5,indoor_air,out_rh,50
2,5,indoor_air,,rh=50;inj=0;leak=0
3,2,humidifier,out_inj,2
3,2,humidifier,,cmd=1;inj=2
3,3,humistat,out_cmd,1
3,3,humistat,,last_rh=50;cmd=1
3,4,leakage,out_leak,0
3,4,leakage,,last_rh=50;leak=0
3,5,indoor_air,out_rh,50
3,5,indoor_air,,rh=50;inj=2;leak=0
4,2,humidifier,out_inj,2
4,2,humidifier,,cmd=1;inj=2
4,3,humistat,out_cmd,1
4,3,humistat,,last_rh=50;cmd=1
4,4,leakage,out_leak,0
4,4,leakage,,last_rh=50;leak=0
4,5,indoor_air,out_rh,50
4,5,indoor_air,,rh=51;inj=2;leak=0
5,2,humidifier,out_inj,2
5,2,humidifier,,cmd=1;inj=2
5,3,humistat,out_cmd,1
5,3,humistat,,last_rh=51;cmd=1
5,4,leakage,out_leak,0
5,4,leakage,,last_rh=51;leak=0.01
5,5,indoor_air,out_rh,51
5,5,indoor_air,,rh=52;inj=2;leak=0
6,2,humidifier,out_inj,2
6,2,humidifier,,cmd=1;inj=2
6,3,humistat,out_cmd,1
6,3,humistat,,last_rh=52;cmd=1
6,4,leakage,out_leak,0.01
6,4,leakage,,last_rh=52;leak=0.02
6,5,indoor_air,out_rh,52
6,5,indoor_air,,rh=53;inj=2;leak=0.01
7,2,humidifier,out_inj,2
7,2,humidifier,,cmd=1;inj=2
7,3,humistat,out_cmd,1
7,3,humistat,,last_rh=53;cmd=1
7,4,leakage,out_leak,0.02
7,4,leakage,,last_rh=53;leak=0.03
7,5,indoor_air,out_rh,53
7,5,indoor_air,,rh=53.995;inj=2;leak=0.02
8,2,humidifier,out_inj,2
8,2,humidifier,,cmd=1;inj=2
8,3,humistat,out_cmd,1
8,3,humistat,,last_rh=53.995;cmd=1
8,4,leakage,out_leak,0.03
8,4,leakage,,last_rh=53.995;leak=0.03995
8,5,indoor_air,out_rh,53.995
8,5,indoor_air,,rh=54.985;inj=2;leak=0.03
9,2,humidifier,out_inj,2
9,2,humidifier,,cmd=1;inj=2
9,3,humistat,out_cmd,1
9,3,humistat,,last_rh=54.985;cmd=1
9,4,leakage,out_leak,0.03995
9,4,leakage,,last_rh=54.985;leak=0.04985
9,5,indoor_air,out_rh,54.985
9,5,indoor_air,,rh=55.97;inj=2;leak=0.03995
10,2,humidifier,out_inj,2
10,2,humidifier,,cmd=1;inj=2
10,3,humistat,out_cmd,1
10,3,humistat,,last_rh=55.97;cmd=1
10,4,leakage,out_leak,0.04985
10,4,leakage,,last_rh=55.97;leak=0.0597
10,5,indoor_air,out_rh,55.97
10,5,indoor_air,,rh=56.95;inj=2;leak=0.04985
11,2,humidifier,out_inj,2
11,2,humidifier,,cmd=1;inj=2
11,3,humistat,out_cmd,1
11,3,humistat,,last_rh=56.95;cmd=1
11,4,leakage,out_leak,0.0597
11,4,leakage,,last_rh=56.95;leak=0.0695002
11,5,indoor_air,out_rh,56.95
11,5,indoor_air,,rh=57.9251;inj=2;leak=0.0597
12,2,humidifier,out_inj,2
12,2,humidifier,,cmd=1;inj=2
12,3,humistat,out_cmd,1
12,3,humistat,,last_rh=57.9251;cmd=0
12,4,leakage,out_leak,0.0695002
12,4,leakage,,last_rh=57.9251;leak=0.079251
12,5,indoor_air,out_rh,57.9251
12,5,indoor_air,,rh=58.8952;inj=2;leak=0.0695002
13,2,humidifier,out_inj,2
13,2,humidifier,,cmd=0;inj=0
13,3,humistat,out_cmd,0
13,3,humistat,,last_rh=58.8952;cmd=0
13,4,leakage,out_leak,0.079251
13,4,leakage,,last_rh=58.8952;leak=0.0889525
13,5,indoor_air,out_rh,58.8952
13,5,indoor_air,,rh=59.8605;inj=2;leak=0.079251
14,2,humidifier,out_inj,0
14,2,humidifier,,cmd=0;inj=0
14,3,humistat,out_cmd,0
14,3,humistat,,last_rh=59.8605;cmd=0
14,4,leakage,out_leak,0.0889525
14,4,leakage,,last_rh=59.8605;leak=0.098605
14,5,indoor_air,out_rh,59.8605
14,5,indoor_air,,rh=60.8209;inj=0;leak=0.0889525
15,2,humidifier,out_inj,0
15,2,humidifier,,cmd=0;inj=0
15,3,humistat,out_cmd,0
15,3,humistat,,last_rh=60.8209;cmd=0
15,4,leakage,out_leak,0.098605
15,4,leakage,,last_rh=60.8209;leak=0.108209
15,5,indoor_air,out_rh,60.8209
15,5,indoor_air,,rh=60.7764;inj=0;leak=0.098605
16,2,humidifier,out_inj,0
16,2,humidifier,,cmd=0;inj=0
16,3,humistat,out_cmd,0
